datetime,symbol,open,high,low,close,volume
2025-07-29 19:00:00+00:00,NASDAQ:TSLA,320.05,322.23,319.99,320.59,484882.0
2025-07-29 19:30:00+00:00,NASDAQ:TSLA,320.55,321.05,319.65,321.04,317209.0
2025-07-29 20:00:00+00:00,NASDAQ:TSLA,321.05,321.74,320.3,320.43,270482.0
2025-07-29 20:30:00+00:00,NASDAQ:TSLA,320.45,321.9,320.1,321.79,385113.0
2025-07-29 21:00:00+00:00,NASDAQ:TSLA,321.74,323.75,321.32,322.63,452519.0
2025-07-29 21:30:00+00:00,NASDAQ:TSLA,322.63,323.89,322.63,322.76,348900.0
2025-07-29 22:00:00+00:00,NASDAQ:TSLA,322.79,324.07,322.21,322.38,388257.0
2025-07-29 22:30:00+00:00,NASDAQ:TSLA,322.39,322.55,320.78,321.34,446255.0
2025-07-29 23:00:00+00:00,NASDAQ:TSLA,321.28,321.32,320.64,320.79,27706.0
2025-07-29 23:30:00+00:00,NASDAQ:TSLA,320.76,321.05,320.7,321.01,10882.0
2025-07-30 00:00:00+00:00,NASDAQ:TSLA,321.02,321.09,320.77,320.83,7675.0
2025-07-30 00:30:00+00:00,NASDAQ:TSLA,320.85,320.99,320.8,320.9,5021.0
2025-07-30 01:00:00+00:00,NASDAQ:TSLA,320.93,321.19,320.52,320.6,12805.0
2025-07-30 01:30:00+00:00,NASDAQ:TSLA,320.6,320.94,320.51,320.9,5955.0
2025-07-30 02:00:00+00:00,NASDAQ:TSLA,320.92,321.0,320.7,320.88,6988.0
2025-07-30 02:30:00+00:00,NASDAQ:TSLA,320.82,320.85,320.42,320.42,5413.0
2025-07-30 11:00:00+00:00,NASDAQ:TSLA,321.14,322.5,321.14,321.69,23491.0
2025-07-30 11:30:00+00:00,NASDAQ:TSLA,321.64,322.6,321.57,322.39,13200.0
2025-07-30 12:00:00+00:00,NASDAQ:TSLA,322.35,322.54,322.3,322.37,7199.0
2025-07-30 12:30:00+00:00,NASDAQ:TSLA,322.34,322.34,322.05,322.27,5223.0
2025-07-30 13:00:00+00:00,NASDAQ:TSLA,322.28,322.43,322.14,322.32,7112.0
2025-07-30 13:30:00+00:00,NASDAQ:TSLA,322.33,322.45,321.85,322.2,7256.0
2025-07-30 14:00:00+00:00,NASDAQ:TSLA,322.11,322.46,321.77,322.46,17102.0
2025-07-30 14:30:00+00:00,NASDAQ:TSLA,322.48,322.7,321.77,321.98,14676.0
2025-07-30 15:00:00+00:00,NASDAQ:TSLA,321.96,322.05,321.0,321.67,32832.0
2025-07-30 15:30:00+00:00,NASDAQ:TSLA,321.6,322.15,321.06,321.65,22628.0
2025-07-30 16:00:00+00:00,NASDAQ:TSLA,321.67,322.35,321.01,322.21,23941.0
2025-07-30 16:30:00+00:00,NASDAQ:TSLA,322.18,324.46,320.0,321.44,924373.0
2025-07-30 17:00:00+00:00,NASDAQ:TSLA,321.39,323.4,321.03,322.21,515366.0
2025-07-30 17:30:00+00:00,NASDAQ:TSLA,322.215,322.36,318.82,319.18,563228.0
2025-07-30 18:00:00+00:00,NASDAQ:TSLA,319.13,319.77,316.92,317.65,743533.0
2025-07-30 18:30:00+00:00,NASDAQ:TSLA,317.64,319.39,317.4,318.99,395405.0
2025-07-30 19:00:00+00:00,NASDAQ:TSLA,319.02,319.11,317.5,317.68,259929.0
2025-07-30 19:30:00+00:00,NASDAQ:TSLA,317.7,318.28,317.35,318.26,302243.0
2025-07-30 20:00:00+00:00,NASDAQ:TSLA,318.2,318.88,317.65,317.85,244602.0
2025-07-30 20:30:00+00:00,NASDAQ:TSLA,317.88,318.63,317.7,318.34,215301.0
2025-07-30 21:00:00+00:00,NASDAQ:TSLA,318.31,318.86,315.85,316.68,470200.0
2025-07-30 21:30:00+00:00,NASDAQ:TSLA,316.65,317.81,312.41,312.63,728675.0
