datetime,symbol,open,high,low,close,volume
2025-03-17 21:00:00+00:00,NASDAQ:TSLA,236.77,239.32,236.2,239.3,557475.0
2025-03-17 21:30:00+00:00,NASDAQ:TSLA,239.3,240.42,238.97,239.77,537712.0
2025-03-17 22:00:00+00:00,NASDAQ:TSLA,239.79,240.0,237.28,237.49,567058.0
2025-03-17 22:30:00+00:00,NASDAQ:TSLA,237.46,239.88,237.15,237.86,841215.0
2025-03-18 16:30:00+00:00,NASDAQ:TSLA,228.16,230.1,222.53,223.92,2500166.0
2025-03-18 17:00:00+00:00,NASDAQ:TSLA,223.94,225.53,222.28,225.08,1130643.0
2025-03-18 17:30:00+00:00,NASDAQ:TSLA,225.06,226.4,223.24,224.58,886290.0
2025-03-18 18:00:00+00:00,NASDAQ:TSLA,224.55,228.88,223.05,227.89,1005389.0
2025-03-18 18:30:00+00:00,NASDAQ:TSLA,227.93,229.46,226.92,228.58,714841.0
2025-03-18 19:00:00+00:00,NASDAQ:TSLA,228.58,229.55,228.14,229.2,487615.0
2025-03-18 19:30:00+00:00,NASDAQ:TSLA,229.19,229.2,226.13,228.18,487569.0
2025-03-18 20:00:00+00:00,NASDAQ:TSLA,228.21,228.83,226.42,226.95,403302.0
2025-03-18 20:30:00+00:00,NASDAQ:TSLA,226.955,227.48,224.66,225.145,547549.0
2025-03-18 21:00:00+00:00,NASDAQ:TSLA,225.19,225.68,223.33,225.15,636092.0
2025-03-18 21:30:00+00:00,NASDAQ:TSLA,225.21,227.76,225.21,227.06,552942.0
2025-03-18 22:00:00+00:00,NASDAQ:TSLA,226.99,227.45,225.55,226.47,551532.0
2025-03-18 22:30:00+00:00,NASDAQ:TSLA,226.42,226.85,224.74,225.48,859445.0
2025-03-19 16:30:00+00:00,NASDAQ:TSLA,231.58,234.12,229.21,229.8,1871640.0
2025-03-19 17:00:00+00:00,NASDAQ:TSLA,229.82,233.81,229.6,231.31,1324104.0
2025-03-19 17:30:00+00:00,NASDAQ:TSLA,231.41,232.2,230.42,231.08,686147.0
2025-03-19 18:00:00+00:00,NASDAQ:TSLA,231.08,235.5,230.8,235.43,947903.0
2025-03-19 18:30:00+00:00,NASDAQ:TSLA,235.43,237.07,234.63,235.5,920931.0
2025-03-19 19:00:00+00:00,NASDAQ:TSLA,235.56,236.0,234.73,235.2,529477.0
2025-03-19 19:30:00+00:00,NASDAQ:TSLA,235.15,235.17,233.72,234.84,476823.0
2025-03-19 20:00:00+00:00,NASDAQ:TSLA,234.85,235.18,233.39,234.31,454314.0
2025-03-19 20:30:00+00:00,NASDAQ:TSLA,234.32,234.98,232.62,232.92,477221.0
2025-03-19 21:00:00+00:00,NASDAQ:TSLA,232.87,235.13,232.07,233.46,802184.0
2025-03-19 21:30:00+00:00,NASDAQ:TSLA,233.41,237.71,233.41,237.46,989521.0
2025-03-19 22:00:00+00:00,NASDAQ:TSLA,237.43,241.4,235.01,235.35,1640810.0
2025-03-19 22:30:00+00:00,NASDAQ:TSLA,235.29,238.15,235.14,235.83,1210583.0
2025-03-20 16:30:00+00:00,NASDAQ:TSLA,233.39,236.29,232.14,235.99,1735457.0
2025-03-20 17:00:00+00:00,NASDAQ:TSLA,235.91,238.0,235.13,236.55,1035815.0
2025-03-20 17:30:00+00:00,NASDAQ:TSLA,236.5,237.08,235.33,236.3,637706.0
2025-03-20 18:00:00+00:00,NASDAQ:TSLA,236.36,236.59,233.77,234.06,787596.0
2025-03-20 18:30:00+00:00,NASDAQ:TSLA,233.94,234.03,230.06,231.98,1375235.0
2025-03-20 19:00:00+00:00,NASDAQ:TSLA,231.93,233.89,231.6,231.83,698659.0
2025-03-20 19:30:00+00:00,NASDAQ:TSLA,231.89,234.13,231.89,233.43,514677.0
2025-03-20 20:00:00+00:00,NASDAQ:TSLA,233.39,235.68,233.18,234.32,607048.0
2025-03-20 20:30:00+00:00,NASDAQ:TSLA,234.34,236.65,234.16,234.9,659845.0
2025-03-20 21:00:00+00:00,NASDAQ:TSLA,234.86,235.15,232.385,232.49,503321.0
2025-03-20 21:30:00+00:00,NASDAQ:TSLA,232.46,233.84,231.9,232.44,529567.0
